epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,267.822,0.55599,0.51192,0.46295,0.82726,0.99668,1,0.99424,0.87057,0.99668,1,0.99424,0.69055,0.54636,0.58607,0.47417,0.80819,0.0004952,0.0004952,0.0004952
78,271.423,0.55303,0.56864,0.47742,0.82166,0.99669,1,0.99431,0.87063,0.99669,1,0.99431,0.68212,0.54488,0.59882,0.46236,0.80908,0.0004754,0.0004754,0.0004754
79,276.714,0.5418,0.55541,0.43171,0.83059,0.99669,1,0.99431,0.87063,0.99669,1,0.99431,0.68212,0.54488,0.59882,0.46236,0.80908,0.0004556,0.0004556,0.0004556
80,282.057,0.52414,0.50232,0.50117,0.83173,0.99671,1,0.99444,0.87409,0.99671,1,0.99444,0.6671,0.53604,0.61279,0.44659,0.80868,0.0004358,0.0004358,0.0004358
81,286.145,0.53163,0.53468,0.43901,0.81588,0.99671,1,0.99444,0.87409,0.99671,1,0.99444,0.6671,0.53604,0.61279,0.44659,0.80868,0.000416,0.000416,0.000416
82,290.064,0.54317,0.53164,0.44115,0.82667,0.99672,1,0.99446,0.87911,0.99672,1,0.99446,0.65886,0.51966,0.59987,0.43109,0.80684,0.0003962,0.0003962,0.0003962
83,294.553,0.5337,0.54594,0.43341,0.83003,0.99672,1,0.99446,0.87911,0.99672,1,0.99446,0.65886,0.51966,0.59987,0.43109,0.80684,0.0003764,0.0003764,0.0003764
84,299.92,0.55517,0.58321,0.53143,0.82785,0.9967,1,0.99447,0.87991,0.9967,1,0.99447,0.65837,0.51288,0.58267,0.42146,0.80674,0.0003566,0.0003566,0.0003566
85,303.7,0.55678,0.52611,0.44589,0.82995,0.9967,1,0.99447,0.87991,0.9967,1,0.99447,0.65837,0.51288,0.58267,0.42146,0.80674,0.0003368,0.0003368,0.0003368
86,308.184,0.52476,0.58259,0.41728,0.82943,0.99671,1,0.9945,0.88041,0.99671,1,0.9945,0.65796,0.51327,0.57558,0.41348,0.80724,0.000317,0.000317,0.000317
